prep_canonical_smiles,chembl_cmpd_id,assay_id,rdkitNonIsoCanonSmi,canonical_smiles,doc_id,pubmed_id,journal,year,volume,first_page,standard_value,standard_units,standard_type,activity_comment,tid,pref_name,Protein class,Cliff value,Chiral cliff,unambiguous cliff,Protein class (prep)
Brc1cc(ccc1NC(=O)Nc2ccc(nc2)C#N)[C@@H]3CNCCO3,"('CHEMBL3673007', 'CHEMBL3673008')","(1528170, 1528171)",N#Cc1ccc(NC(=O)Nc2ccc(C3CNCCO3)cc2Br)cn1,"('Brc1cc(ccc1NC(=O)Nc2ccc(nc2)C#N)[C@@H]3CNCCO3', 'Brc1cc(ccc1NC(=O)Nc2ccc(nc2)C#N)[C@H]3CNCCO3')",94859,"((nan, nan), (nan, nan))",,2015.0,,,"((Decimal('21.8'), Decimal('16.1')), (Decimal('3.7'), Decimal('3.3')))",nM,Ki,,"(100425, 100426)",Trace amine-associated receptor 1,membrane receptor 7tm,"(0.1316306175727551, 0.049687784189107562)",no cliff,1,membrane receptor 7tm
Brc1ccc(Nc2ccc(cn2)[C@@H]3CNCCO3)nc1,"('CHEMBL3702006', 'CHEMBL3702007')","(1528585, 1528586)",Brc1ccc(Nc2ccc(C3CNCCO3)cn2)nc1,"('Brc1ccc(Nc2ccc(cn2)[C@@H]3CNCCO3)nc1', 'Brc1ccc(Nc2ccc(cn2)[C@H]3CNCCO3)nc1')",94478,"((nan, nan), (nan, nan))",,2014.0,,,"((Decimal('215.7'), Decimal('362.4')), (Decimal('12.2'), Decimal('7.7')))",nM,Ki,,"(105388, 100426)","('Trace amine-associated receptor 7b', 'Trace amine-associated receptor 1')",membrane receptor 7tm,"(0.22533804390223044, 0.19986910550226633)",no cliff,1,membrane receptor 7tm
Brc1ccc(cc1)C2C[C@@H]2C(=O)N3CCN(CC3)C4CCC4,"('CHEMBL3677883', 'CHEMBL3677884')","(1528172, 1528213)",O=C(C1CC1c1ccc(Br)cc1)N1CCN(C2CCC2)CC1,"('Brc1ccc(cc1)C2C[C@@H]2C(=O)N3CCN(CC3)C4CCC4', 'Brc1ccc(cc1)C2C[C@H]2C(=O)N3CCN(CC3)C4CCC4')",94860,"(((nan, nan), nan), (nan, nan))",,2015.0,,,"(((Decimal('13.3'), Decimal('16.8')), Decimal('3400')), (Decimal('6.813'), Decimal('262')))",nM,IC50,,10280,Histamine H3 receptor,membrane receptor 7tm,"(2.353942417112393, 1.5849629023803478)",cliff,1,membrane receptor 7tm
Brc1ccc(cc1)S(=O)(=O)Nc2ccc3[nH]cc(C[C@@H]4CCCN4)c3c2,"('CHEMBL606870', 'CHEMBL606704')",303674,O=S(=O)(Nc1ccc2[nH]cc(CC3CCCN3)c2c1)c1ccc(Br)cc1,"('Brc1ccc(cc1)S(=O)(=O)Nc2ccc3[nH]cc(C[C@@H]4CCCN4)c3c2', 'Brc1ccc(cc1)S(=O)(=O)Nc2ccc3[nH]cc(C[C@H]4CCCN4)c3c2')",21434,15658848.0,J. Med. Chem.,2005.0,48,353,"(Decimal('57'), Decimal('3'))",nM,Ki,,10627,Serotonin 6 (5-HT6) receptor,membrane receptor 7tm,1.27875360095,cliff,1,membrane receptor 7tm
Brc1ccc(s1)c2nc3nccc(C(=O)NC[C@@H]4CCCNC4)c3[nH]2,"('CHEMBL3716396', 'CHEMBL3719168')",1536983,O=C(NCC1CCCNC1)c1ccnc2nc(-c3ccc(Br)s3)[nH]c12,"('Brc1ccc(s1)c2nc3nccc(C(=O)NC[C@@H]4CCCNC4)c3[nH]2', 'Brc1ccc(s1)c2nc3nccc(C(=O)NC[C@H]4CCCNC4)c3[nH]2')",97174,"(nan, nan)",,"(nan, nan)",,,"(Decimal('2200'), Decimal('1200'))",nM,IC50,,100411,PDZ-binding kinase,kinase,0.263241434775,no cliff,1,kinase
Brc1ccc2oc(nc2c1)N3CCNC[C@@H]3COc4cccnc4,"('CHEMBL3262129', 'CHEMBL3262130')",1348013,Brc1ccc2oc(N3CCNCC3COc3cccnc3)nc2c1.Cl,"('Cl.Brc1ccc2oc(nc2c1)N3CCNC[C@@H]3COc4cccnc4', 'Cl.Brc1ccc2oc(nc2c1)N3CCNC[C@H]3COc4cccnc4')",83263,24814197.0,J. Med. Chem.,2014.0,57,3966,"(Decimal('67'), Decimal('3200'))",nM,IC50,,12167,Neuronal acetylcholine receptor protein alpha-7 subunit,ion channel lgic,1.67907517562,cliff,1,ion channel lgic
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)[C@@H]4CCCN4,"('CHEMBL2030393', 'CHEMBL2030394')","(819140, 819143)",O=c1[nH]c(C2CCCN2)nc2c1oc1ccc(Br)cc12,"('Brc1ccc2oc3C(=O)NC(=Nc3c2c1)[C@@H]4CCCN4', 'Brc1ccc2oc3C(=O)NC(=Nc3c2c1)[C@H]4CCCN4')",61995,22560567.0,Bioorg. Med. Chem. Lett.,2012.0,22,3727,"((Decimal('4.8'), Decimal('70')), (Decimal('75'), Decimal('4592')))",nM,IC50,,100077,Cell division cycle 7-related protein kinase,kinase,"(1.1638568026386695, 1.7869406159982171)",cliff,1,kinase
C(CN1CCN(CC1)c2ccccn2)[C@@H]3CCC(=CC3)c4ccccc4,"('CHEMBL348547', 'CHEMBL418937')","(58323, 61435, 61436)",C1=C(c2ccccc2)CCC(CCN2CCN(c3ccccn3)CC2)C1,"('C(CN1CCN(CC1)c2ccccn2)[C@@H]3CCC(=CC3)c4ccccc4', 'C(CN1CCN(CC1)c2ccccn2)[C@H]3CCC(=CC3)c4ccccc4')",569,"((nan, nan), (nan, nan), (nan, nan))",Bioorg. Med. Chem. Lett.,1993.0,3,639,"(Decimal('6000'), (Decimal('64'), Decimal('82')), (Decimal('545'), Decimal('704')))",nM,IC50,,"(10304, 14037, 14037)","('Dopamine D1 receptor', 'Dopamine D2 receptor', 'Dopamine D2 receptor')",membrane receptor 7tm,"(0.0, 0.10763387839982949, 0.11117615686546976)",no cliff,1,membrane receptor 7tm
C(CNC[C@@H]1CCCN1CCOC(c2ccccc2)c3ccccc3)Cc4ccccc4,"('CHEMBL423372', 'CHEMBL142500')","(61855, 61988)",c1ccc(CCCNCC2CCCN2CCOC(c2ccccc2)c2ccccc2)cc1,"('C(CNC[C@@H]1CCCN1CCOC(c2ccccc2)c3ccccc3)Cc4ccccc4', 'C(CNC[C@H]1CCCN1CCOC(c2ccccc2)c3ccccc3)Cc4ccccc4')",13705,8941383.0,J. Med. Chem.,1996.0,39,4704,"((Decimal('5.1'), Decimal('747')), (Decimal('0.7'), Decimal('127')))",nM,IC50,,13077,Dopamine transporter,transporter,"(2.1657504257174622, 2.2587056809416999)",cliff,1,transporter
C(CNC[C@@H]1CCc2ccccc2O1)CNC3=NCCCN3,"('CHEMBL88212', 'CHEMBL88240')",1011,c1ccc2c(c1)CCC(CNCCCNC1=NCCCN1)O2,"('C(CNC[C@@H]1CCc2ccccc2O1)CNC3=NCCCN3', 'C(CNC[C@H]1CCc2ccccc2O1)CNC3=NCCCN3')",1414,"(nan, nan)",Bioorg. Med. Chem. Lett.,1995.0,5,2649,"(Decimal('50.12'), Decimal('5.012'))",nM,IC50,,51,Serotonin 1a (5-HT1a) receptor,membrane receptor 7tm,1.0,cliff,1,membrane receptor 7tm
